doc_id,year,source,paragraph_id,text,keyword_hit
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,484,"117 Meslek Eğitimi Çalışma Yaşamıyla Birlikte Gelişecek • Sanayi kuruluşları ile iş birliği içerisinde, OSB'lerde ve Sanayi Sitelerinde çıraklık merkezi ve yatılı meslek liseleri kuracağız. • Meslek okullarında okuyan gençleri tam zamanlı sigortalı statüsüne yükselteceğiz. • Meslek okullarının bölgelerindeki ekonomiyle bütünleşmiş, esnek bir yapıya sahip olmalarını sağlayacağız.",1
tr_2003_ulusa_seslenis,2003,ulusa_seslenis,45,"Milletle AK Parti iktidarı arasındaki güven ilişkisini göremediler"" dedi. Onların ekonometrik modellerinde hesaba katılmayan bir faktörün devreye girdiğini ve IMF uzmanlarının en iyimser tahminlerini bile on kere katlayan muhteşem bir sonucun ortaya çıktığını ifade eden Erdoğan, şöyle konuştu: ""Onun için biz, bu güven meselesini çok önemsiyoruz. Milletin AK Parti'ye gösterdiği güven, aslında kendine duyduğu güvendir.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,61,"Uygar dünyadaki gelişmelerin aksine Türkiye, medyayı ve İnternet'i sansürleyen, gazetecileri tutuklayan ve muhalif görüşleri sindiren bir ülke konumuna sürüklenmiştir. İnternet yasakları iktidarın, ifade özgürlüğüne ve özgür kamusal alana inanmadığının önemli bir göstergesidir. CHP öncelikle basın mensuplarının özgürce haber yapma ve yurttaşların farklı kaynaklardan bilgilenme hakkını gözetecektir.",1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,310,"Tarihin en şanlı mücadelelerinden birini vererek kazandığımız istiklalimizin sembolü olan bu güzel bayram, milletimiz için her geçen gün daha da büyük bir anlam ve değer kazanıyor. Adım adım 100. kuruluş yılına yaklaşmakta olduğumuz Cumhuriyetimiz, geleceğimiz adına en büyük güvencemizdir.",1
tr_2012_ulusa_seslenis,2012,ulusa_seslenis,103,"Türkiye'nin sorunlarına daima gerçekçi şekilde baktık, değerlendirmelerimizi bu doğrultuda yaptık. Türkiye'ye inanmayanlarla, milletimize inanmayanlarla, karamsar, kötümser tablolar çizenlerle yollarımızı ayırdık… Sizin yolunuz size, bizim yolumuz bize dedik. Ancak, yüreğinde Büyük Türkiye heyecanı taşıyan, bu ülkenin kalkınması için elini taşın altına koymaya hazır olan her kesimle her zaman istişare halinde olduk… Yatırımcımıza, girişimcimize, sanayicimize, işverenimize, işçimize, emekçimize, sivil toplum kuruluşlarımıza asla ve asla kulak tıkamadık… Aksine, onlarla el ele verdik, onların beklentileri, onların talepleri doğrultusunda Türkiye'nin büyümesi için çaba harcadık.",1
tr_2011_ulusa_seslenis,2011,ulusa_seslenis,322,"Bu düşüşü de devam ettirecek, inşallah işsizliği de makul seviyelere düşüreceğiz. Milletçe hepimizi sevindiren Recep Tayyip ERDOĞAN 224 bir başka gelişmeyi de burada sizlere açıklamak istiyorum. Şu anda, dünyanın birçok ülkesi, kamu borçlarını çevirmek amacıyla Uluslararası Para Fonu'ndan yüksek faizlerle kredi çekmek için sıraya girmiş durumda.",1
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,574,"Yolsuzluk, yoksulluk ve yasaklara karşı verdiğimiz mücadelenin neticeleri hayatlarımıza yansımaya başlıyor. Benim, demokrasinin direği olarak gördüğüm 'orta sınıf ', uzun yıllardan sonra yeniden hayata dönüyor, tekrar ortaya çıkmaya başlıyor. Özgür ve müreffeh Türkiye'nin ayak sesleridir bunlar.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,152,"Bu, en az 2 bin 332 ocağın daha şenlenmesi, 2 bin 332 sofranın daha bereketlenmesi; en az on bin kardeşimizin, evladımızın huzur ve saadeti, hayır duası demektir. Avrupa'da bir çok ülke küresel finans krizi nedeniyle çok ağır faturalar öderken, zor dönemlerden geçerken, Türkiye tam tersine bu süreçten, işte böyle böyle, hızla çıkıyor. Nitekim, uluslararası kuruluşların yanısıra, uluslararası basın kuruluşları da Türkiye'nin krizden en az etkiyle sıyrıldığını teyit ediyorlar.",1
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,966,"6550 sayılı Araştırma Altyapılarının Desteklenmesine Dair Kanunun ikincil mevzuat çalışmalarını tamamlayacağız ve hayata geçireceğiz. Bu Kanunun hayata geçmesiyle araştırma altyapılarımızın özel sektörle çok daha yakın bir şekilde çalışması sonucunda araştırmaların ticarileşmesine önemli bir destek sunacağız. Dışa bağımlılığın yüksek olduğu sektörlerde, yerli ürün ve teknolojiler geliştirilmesine yönelik araştırma programlarını destekleyerek etkinleştireceğiz.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,311,Sanayi sitelerinde ve tesislerinde arıtma sistemleri tavizsiz tamamlanacak ve çevre koruma prensiplerine göre inşa edilecektir. Çevre ve Şehircilik Bakanlığınca atık su arıtma tesislerinin teşvik edilmesi amacıyla enerji giderlerinin % 50'si karşılanmaktadır. Debisi 10.000 m3/gün üzerinde olan arıtma tesislerinin çıkışlarına kurulan istasyonlarından su kalitesi anlık olarak Çevre ve Şehircilik Bakanlığınca izlenmektedir.,1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,415,İnşallah 2010 yılı her açıdan 2009'dan çok daha güzel bir yol olacaktır. Sevgili vatandaşlarım… Türkiye'nin hedeflerine ulaşma yolundaki kararlığından asla vazgeçmiş değiliz. Bu hedeflerden biri de Türkiye'nin şehirlerini birbirine bağlayan yolları çağdaş bir kalite ve seviyeye ulaştırmaktır.,1
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,552,"Kültürel mirasımızın korunması için gerekli teknik elemanların yetiştirilmesi sağlanacaktır. Tarihe mal olmuş bütün belgelerin hukuki sınırlar içinde bir arşivde toplanması ve kullanıma açılması gerçekleşecektir. Tüm illerde şehir müzesi kurularak, illerin kültürel varlıkları koruma altına alınacak ve gelecek nesillere aktarılacaktır.",1
tr_2011_ulusa_seslenis,2011,ulusa_seslenis,107,"Kızılay orada çadır kentler kuruyor, inşallah bu çadır kentlerin kapasitesi yakın zaman içinde 2 bin çadıra kadar çıkacak. Sağlık Bakanlığımız ilk aşamada tam teşekküllü bir sahra hastanesi kurarak hizmete başladı, önümüzdeki günlerde beş hastane daha süratle kurulacak. Diyanet İşleri Başkanlığımızın ve pek çok sivil yardım kuruluşumuz da kampanyalardan elde ettikleri kaynakları bölgeye ulaştırmak için adeta arı gibi çalışıyorlar.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,238,"Bütün bunları ülkemizin geleceğine bir yatırım olarak görüyor, bu hassasiyetle çalışmalarımızı yürütüyoruz. Türkiye eğitim alanında ektiği bu tohumların karşılığını hayatın her alanında kat be kat alacaktır, bundan hiç şüphemiz yok. Bu üniversitelerden, bu okullardan pırıl pırıl aydınlık, mutlu ve müreffeh Türkiye'nin mimarları yetişecek.",1
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,225,"Hedefimiz, denizcilik sektörünün tersaneler, kıyı yapı ve tesisleri, deniz altı kaynakları, balıkçılık, deniz turizmi gibi diğer unsurlarında da aynı değişimi gerçekleştirerek bunu o sektörde olanlara yaşatmaktır."" ""Başladığımız işi hayırlısıyla bitirip, bu ülkeyi adil ve kalkınmış bir ülke haline getireceğiz"" diyen Erdoğan, bütün bu gelişmelerin ""Türkiye'nin damarlarına kan gelmeye başladığının işareti"" olduğunu söyledi. Erdoğan, ""Bizlere olan inancınızı, Recep Tayyip ERDOĞAN 156 güveninizi asla kaybetmeyiniz. Türkiye, haklının hakkına sahip olacağı, çalışanın ezilmeyeceği, demokrasinin bütün kurumlarıyla işleyeceği örnek bir ülke olacaktır"" diye konuştu.",1
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,265,"Bugün her ülkenin küresel mali kaynaklardan azami derecede Ulusa Sesleniş Ankara | 12 Kasım 2004 Recep Tayyip ERDOĞAN 180 yararlanmak ihtiyacı içerisinde olduğunu kaydeden Erdoğan, ""Türk ekonomisinin yabancı sermaye açısından giderek daha cazip bir adres haline geliyor olması bu bakımdan son derece kayda değer bir gelişmedir. Bu ilgiyi canlı tutmak, sürekli hale getirmek ve ekonomimize yeni değerler kazandıran mali kaynaklardan en iyi ve en verimli şekilde yararlanmak konusunda büyük gayret sarf ediyoruz"" diye konuştu. Başbakan Erdoğan, çalışan kesimlerin, yıllardan beri, emeklerinin karşılığını tam olarak alamamanın sıkıntısını yaşadıklarını, giderek bozulan ekonomik yapı ve kamu yükünün, Türkiye'de ücret dengesinin daima çalışanlar, dar gelirliler aleyhine bozulmasına neden olduğunu belirtti.",1
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,770,"Çocuğun yararının üstün tutulduğu, bireyin, ailenin, toplumun ve devletin tam katılımına dayalı “Çocuk Hakları Kültürü” temelinde “Çocuk Ombudsmanlığının” kurulmasını sağlayacağız. 202 2011 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ Her çocuğun mutlaka bir aile yanında yaşamını sürdürmesi gerektiği görüşünden hareketle; sosyal yoksunluğu olan çocukların yatılı kuruluş bakımı yerine “Profesyonel Koruyucu Aile veya Evlat Edindirme Sistemi”ni bu durumdaki tüm çocukları kapsayacak şekilde yaygınlaştıracağız. Çocukları ile birlikte yalnız yaşayan annelere, yaşamlarını çocuklarından ayrılmadan daha güvenli ve sağlıklı olarak sürdürebilmeleri için, barınma öncelikli “Stüdyo Evler” ile birlikte her türlü sosyal desteği sağlayacağız.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,589,"• Sektör bileşenlerinin master planına uygun, dengeli ve çevreye duyarlı biçimde hareket etmesini yasal güvence altına alacağız. Havalimanları • Kapasitesini aşan havalimanlarının geliştirilmesini sağlayacak, atıl havalimanlarının etkin kullanılması için hava yolu taşımacılarını teşvik edeceğiz. • Havaalanı olmayan illerde yaşayanların, en yakın havaalanına hızlı, emniyetli ve ucuz şekilde erişebilmesini sağlayacağız.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,316,"Aynı törenle Boğaziçi Üniversitesi çatısı altında faaliyet gösterecek Yüksek Akım Laboratuarı ve Teknopark'ı da hayırlısıyla hizmete açtık. Türk Patent Enstitüsü ile Boğaziçi Üniversitemiz arasında bir Bilgi ve Doküman Birimi kurulması için de aynı gün imzaları attık. Bunlar diğer üniversitelerimize de ilham verecek, vizyonlarını geliştirecek, alanında yine öncülük misyonu üstlenen örnek yatırımlardır.",1
tr_2003_ulusa_seslenis,2003,ulusa_seslenis,161,"Bu değerleri her söz konusu edişimizde, dünyada incitebileceğimiz masum çoğunluklar bulunduğu gerçeğini aklımızdan ve vicdanımızdan çıkarmamalıyız. Modern dünyada her inanç ve fikir grubunda ortaya çıkabilecek marjinal sapmaları teşhis ve teşhir ederken, bu sapmalarla hiç ilgisi olmayan geniş inanç ve fikir bütünlüklerini rencide etmekten özenle kaçınmalıyız. Terör ve şiddet eğilimleri, başta bütün semavi dinler olmak üzere, bütün inanç ve fikir bütünlüklerinden kopuk, sapkın hareketlerdir.",1
tr_2002_akp_june_6_secim_beyannamesi,2002,akp_june_6_secim_beyannamesi,217,"Ancak, turizm bölgelerinin planlanması aşamasından başlayan bazı sorunlar, özellikle merkezden planlama ve yönetme anlayışının yarattığı sıkıntılar nedeniyle, kıyı şeritlerinde yanlış uygulamalar yapılmıştır. Bu yanlışlıkların giderilmesi için kıyı şeridi turizminin yeni bir anlayışla ele alınarak yapılandırılması gerekmektedir. Ülkemizin zengin turizm potansiyeli harekete geçirilerek, dünya turizm pastasında önemli bir yer tutan iş-kongre, fuar, spor ve kültür turizmi alanlarında, dinlence turizminde edindiğimiz konuma gelmemizi sağlayacak bir hamle başlatılmalıdır.",1
tr_2003_ulusa_seslenis,2003,ulusa_seslenis,10,"Başbakan Erdoğan, konuşmasını şöyle sürdürdü: ""Bu gelişmeler olurken, bütün dünya ile beraber bizim de korktuğumuz, 'sözün bittiği yere geldik' ve ne yazık ki savaş başladı. Bu arada tüm dünyada önemli gelişmeler oldu. Temel misyonu 'barış' olan Birleşmiş Milletler Teşkilatı derin bir yara aldı.",1
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,445,"Bu, Türkiye'nin geleceği açısından son derece önemli bir adımdır. Bu tarihi karara oy vererek daha önce yapılamayanı yapan ve Türk siyasetine dinamizm kazandıran bütün milletvekili arkadaşlarıma huzurlarınızda bir kere daha teşekkür ediyorum. Türkiye bu kararla, son dört yıl içinde elde ettiği kazanımları daha ileri noktalara taşıyacak yeni bir enerjiye, yeni dinamiklere, yeni bakış açılarına, yeni heyecanlara kavuşmuştur.",1
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,59,"Türkiye'nin güvenliği için gösterdiğimiz azami dikkatin gereği olarak bütün politikalarımızın birbirini tamamlar nitelikte olmasını, istismar edilen zaaf alanlarına karşı toplumun bütün savunma mekanizmalarının güçlenmesini hayati derecede önemsiyoruz. Hiçbir şiddet ve terör odağının nüfuz edemeyeceği en büyük gücün milletimizin birlik ve beraberlik ruhu olduğunu iyi biliyoruz. Türkiye 70 milyon vatandaşıyla birlikte güvenliğine, hudutlarına ve büyük bir mücadeleyle kazanmış olduğu istiklaline ilelebet sahip çıkacaktır.",1
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,257,"Müzakere sürecinin başlamasıyla birlikte, ekonominin yeni imkanlara ve yeni kaynaklara ulaşacağının bir gerçek olduğunu vurgulayan Erdoğan, Recep Tayyip ERDOĞAN 172 özellikle doğrudan yabancı sermayenin Türkiye'ye girişi konusunda çok ciddi bir canlanma yaşayacağının şimdiden söylenebileceğini kaydetti. Başbakan Erdoğan, bu canlanmanın, son iki yılda ekonominin gösterdiği üstün performansa ilave olarak yaşanacağını anlatarak, ekonominin güven ve istikrar zemininde yaptığı atılımın, Türkiye'ye yabancı sermaye girişini aşamalı olarak zaten hızlandırdığını söyledi. Erdoğan, bu yıl sonu itibariyle doğrudan yabancı sermayenin Türkiye'ye girişinin 2.5 milyar dolar olduğunu, bu rakamların hızla artış göstereceğini umduklarını ifade etti.",1
tr_2012_ulusa_seslenis,2012,ulusa_seslenis,113,"Dikkatinizi çekiyorum: Büyük Selçuklu Devletinden bugüne kadar, millet olarak biz, her zaman barışın, uzlaşmanın, kucaklaşmanın, bir ve beraber olmanın, kardeş olmanın bayraktarlığını üstlendik. Bağdat, Basra, Aden Körfezi, Kahire, Kudüs, Şam, özellikle de Mekke ve Medine tehdit edildiğinde, tamamen insani duygularla, vicdani duygularla, medeniyetimizin bize yüklediği sorumlulukla, tehditlere karşı göğüs germeyi vazife bildik. Şam ve Kudüs'e doğru kuzeyden Haçlı orduları ilerlerken, biz, Şam ve Kudüs'ün güvenliğini ta İznik'ten başlattık!",1
tr_2012_ulusa_seslenis,2012,ulusa_seslenis,130,"Akdeniz'de, uluslar arası sularda, namert bir saldırıyla düşürülen uçağımızın pilotlarıyla ilgili umutlarımızı da muhafaza ediyoruz. Umutlarımızı halen koruduğumuz bu süreçte, pilotlarımızın ailelerine de sabır ve metanet diliyorum. Aziz vatandaşlarım… Dış politikada, elbette, gündemimizde sadece terör ve Suriye meselesi yok.",1
tr_2008_ulusa_seslenis,2008,ulusa_seslenis,185,"Bu hükümet olarak sadece bizim meselemiz değildir, Türkiye'nin meselesidir. Sosyal güvenlik sistemimizin çok daha sağlıklı işlemesi, çalışanlarımızın daha yüksek standartlara ulaşması, ekonomimizin bu ağır yükten kurtulması içindir. Şu anda zararı hep birlikte bizler karşılıyoruz, bu açığı kapatmak için hepimiz fedakârlık ediyoruz.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,751,"CHP'nin yurttaş merkezli, değer temelli, çoğulcu, barışçı ve dünyaya açık, tutarlı politikaları, Türkiye'yi bölgesel barış, kalkınma ve demokrasi merkezi haline getirecektir. CHP iktidarında Türkiye, yeniden, sorumluluklarını bilen, ortak hedeflere ulaşmak için iş birliği yapan, diplomatik nezaketi ile örnek olan, güvenilir ve itibarlı bir ülke olacaktır. Dış politikamızdaki ana ilkelerimizden biri, yurttaşlarımızın akraba topluluklarının bulundukları ülkelerde demokratik haklarını en ileri düzeyde kullanabilmelerine, özgür şekilde ve iyi koşullarda yaşayabilmelerine katkıda bulunmaktır.",1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,426,Bu toplantı için Türkiye'ye gelen İran Cumhurbaşkanı Sayın Ahmedinejad ile Dolmabahçe Sarayı'nda bir araya gelerek iki ülke ilişkileri ve bölgesel meselelerle ilgili çeşitli konuları bir kere daha görüşme imkanı bulduk. Bu vesileyle geçtiğimiz ay yaptığımız İran ziyareti sırasında heyetimize göstermiş oldukları nazik ilgi için de kendilerine teşekkür ettik. Bu ay içinde misafir ettiğimiz yabancı dostlarımız bununla da sınırlı değildi.,1
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,30,"Bundan önce olduğu gibi yine KKTC ile birlikte oluşturacağımız yeni strateji ve açılımlar çerçevesinde, Kıbrıs Türk halkının haklarını başta Avrupa Birliği olmak üzere her platformda ısrarla ve dikkatle savunacağız."" Öncelikli hedeflerinin Kıbrıs'ın 30 yıldan bu yana sıkıntısını çektiği ekonomik ambargoların kaldırılması olduğunu belirten Erdoğan, KKTC üzerinde uygulanan tecrit politikalarının derhal yürürlükten çekilmesi gerektiğini vurguladı. Erdoğan, ""Tavrını açıkça çözümden yana koyan Kıbrıslı Türkleri dışarıda bırakan ve yine tavrını açıkça çözümsüzlükten yana koyan Kıbrıslı Rumları üye yapmaya hazırlanan bir Avrupa Birliği'nin elbette KKTC'nin geleceği için mutlaka atması gereken bazı adımlar olacaktır. Bu adımların bir an önce atılması ve sonuçlandırılması için her zeminde çaba göstermeye devam edeceğiz"" diye konuştu.",1
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,105,"2005 yılının ilk iki ayında tescil işlemi yapılan esnafımızın sayısı 27.300 olarak gerçekleştirilmiştir. 2004 yılı içerisinde esnaf ve sanatkarlara sübvansiyon için ayrılan kaynak tutarı 25 trilyon liradan 90 trilyon liraya çıkarılmış, uygulanan cari faiz oranı % 35'den % 30'a çekilmiş, böylelikle esnafa kullandırılan kredilerde % 25 faiz oranı uygulanmıştır. Bu suretle, esnaf ve sanatkarlara 1.4 katrilyon liralık kul landırılabilir kredi kaynağı sağlanmış ve böylece 2004 yılında kullandırılan toplam kredi miktarı itfalardan kaynaklanan geri dönüşlerle birlikte 2.5 katrilyon lira olarak gerçekleşmiştir.",1
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,419,"Anahat ve bölgesel demiryolu ağının şehir içi ulaşım sistemleri ile bütünleşmesi sağlanacaktır. Başta İstanbul-Kars-Tiflis-Baki olmak üzere, Kavkaz- Samsun-Basra, Güneydoğu Asya, İstanbul-Basra, İstanbul- Halep-Mekke, İstanbul-Halep-Kuzey Afrika gibi ülkemizi demir yolu ile bölge ülkelerine bağlayacak yeni koridor ve bağlantıların oluşumuna yönelik projelere öncelik verilecektir. Havacılık Sektörü 2023'e kadar tamamen yerli, bölgesel kendi uçağımızı yapmış olacağız.",1
tr_2007_ulusa_seslenis,2007,ulusa_seslenis,216,"Benim “demokrasinin direği” olarak gördüğüm “orta tabaka”, eriyip kaybolmuştu. Şimdi böyle bir hayat standardının tekrar yaygınlaşmaya başladığını görüyoruz. Orta tabaka hayat standardı, benim için, kaliteli ve ulaşılabilir bir eğitim ve sağlık hizmeti, gerçekleştirilebilir bir ev ve araba hayali demektir.",1
