doc_id,year,source,paragraph_id,text,keyword_hit
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,211,Şu anda ülkemizdeki müstakil anaokullarının % 60'ı 2003-2007 yıllarında inşa edilerek hizmete sunulmuştur. 2013 yılına kadar okul öncesi eğitimde okullaşma oranını asgari % 50'ye çıkarma kararlılığındayız. 2023 yılı hedefimiz ise okul öncesi eğitimi %80 oranına yükseltmektir.,0
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,442,"136 2014 YOLUNDA AK PARTİ SEÇİM BEYANNAMELERİ Ülke genelinde tapu ve kadastro bilgilerinin bilgisayar ortamına aktarılması ve bu bilgiler üzerinden her türlü sorgulama ve tapu işlemlerinin elektronik ortamda anlık olarak yapılabilmesini amaçlayan e-Devlet projelerinden birisi olan “Tapu Kadastro Bilgi Sistemi”nin (TAKBİS) tapu bileşeni tamamlanmıştır. Ayrıca müdürlüklerimizde yapılan sıramatik uygulaması ile vatandaşlarımızın gereksiz yere beklemeleri ve işlem sırası ile ilgili oluşabilecek karmaşaların önüne geçilmiştir. Tapu ve Kadastro Genel Müdürlüğümüz hizmet sunumunda ortaya çıkabilecek aksaklıkları en aza indirmek, hizmetlerimize ilişkin vatandaşlarımızı bilgilendirmek amacıyla Alo Tapu (444 8278) hizmet hattını faaliyete geçirmiştir.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,110,"• Diyarbakır Cezaevi'nde yaşananlar ve Uludere katliamı başta olmak üzere tüm faili meçhuller, işkenceler ve hak ihlallerini araştıracak bir Meclis Komisyonu kuracağız. Yasaklara Son Vereceğiz • Seçimlerde ve siyasette dil yasaklarını sona erdireceğiz. • Türk Ceza Kanunu'nda ve Terörle Mücadele Kanunu'nda yer alan ifade özgürlüğünü kısıtlayan hükümleri kaldıracağız.",0
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,169,"Sizin emanetinize yedi buçuk yıl boyunca gözümüz gibi baktık ve o şekilde yolumuza devam edeceğiz. Yeniden buluşmak, yeniden hasret gidermek dileğiyle ailenizle, sevdiklerinizle birlikte, huzur dolu, bereketli günler temenni ediyor, sizleri muhabbetle selamlıyorum. Kalın sağlıcakla...",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,643,• Tahrip ettiğimiz doğayı onarmak ve doğa kültürünü aşılamak için doğa hakları kavramını eğitim sistemine yerleştireceğiz. DOĞAYA DAHA YAKIN BİR TOPLUM • Kişi başına düşen şehir içi yeşil alan oranını her ilimizde artıracağız. • Hava kirliliğini azaltacak önlemlere öncelik vereceğiz.,0
tr_2011_chp_secim_beyannamesi,2011,chp_secim_beyannamesi,425,"• Yerel yönetimlerin gelirlerini kendilerine verilen görevleri yerine • Merkezi hükümet kuruluşlarının belediyeler arasında ayrımcılık yapmasına getirmelerine olanak verecek şekilde artıracağız. kesinlikle izin vermeyecek, bu tarafsızlık halini yasalarla güvence altına • “Tüm Türkiye Belediye” anlayışı çerçevesinde köyleri bir belediye yönetimi alacağız. ile ilişkilendirecek, Genel Bütçe Vergi Gelirleri Hasılatından pay vereceğiz.",0
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,539,"Opera ve balede temsil sayısı 2002'de 584 iken, 2010'da bu sayıyı % 45 artırarak 838'e çıkardık. Kültür ve Turizm Bakanlığı'nın orkestra, koro ve müzik topluluklarının konser, resital ve diğer etkinlik sayısı 2002'de 1400 iken 2010'da 1950'ye yükseldi. Yerli film izleyici sayısı tam 11 kat arttı ve 8,5 yılda 2 milyondan 22 milyona çıktı.",0
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,596,"Yine bu bağlamda Süleymaniye Kütüphanesi Restorasyon ve Araştırma Merkezinin Yenilenmesi ve Eğitim Birimi Oluşturulması Projesi devam etmektedir. Ayrıca Kütüphane Otomasyon Programı Projesi, İnternet Erişim Merkezleri Projesi, ülkedeki tüm kütüphanelerde yer alan kaynakların tek bir noktadan sorgulanabilmesini amaçlayan Entegre E-Kütüphane Sistemi Projesi hayata geçirilmiştir. Kütüphane hizmetlerinden yararlanamayan eve bağımlı hasta, yaşlı veya engelli vatandaşlarımızın, evlerinde kütüphane materyalinden yararlanması amacıyla Eve Teslim Kitap Projesi ve görme engelli vatandaşlarımız için Konuşan Kitaplık Projesi uygulamaya konmuştur.",0
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,316,"Çok zorluklar yaşamış, çok badireler atlatmış, çok şey görüp geçirmiş bir millet olmanın kazandırdığı o büyük tecrübeyle, Türkiye için hayırlı olan yol ne tarafa gidiyorsa samimiyetle o tarafa yöneleceksiniz. Bu ülkenin Başbakanı olarak, hizmet etmekten şeref duyduğum bu yüce milletin sağduyusuna sonuna kadar inandığımı açıkça ifade etmek istiyorum. Biliyorum ki bu büyük millet, dünya tarihinin yeni sayfalarında hak ettiği medeniyet seviyesini yakalamakla kalmayacak, özünde taşıdığı hakkaniyet duygusuyla dünyaya da örnek olacaktır."" Güzel tarih sayfalarının bugünden yazılmaya başlandığına ve tarihe düşülen her yeni paragrafla birlikte Türkiye'nin yıldızının daha fazla parlayacağına bütün benliğiyle ve bütün kalbiyle inandığını vurgulayan Erdoğan, 17 Aralık'la başlayan dönemin Türkiye'ye önemli kazanımlar sağlayacağını söyledi.",1
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,315,"Kuracağımız Merkezi Bilgi Sistemi ile değişik kurumlarımızın sahip olduğu tüm bilgiler bir araya getirilecektir. Çalışan nüfus, yaşlılar, özürlüler, yoksul kesimler gibi değişik statü ve özellikteki insanımıza dönük olarak kurumlarımızın hizmetleri daha etkin bir organizasyon ve koordinasyon içinde yürütülecektir. 100 2007 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ İnsanımızın gelir durumu ve geçim şartlarını da içeren Adrese Dayalı Nüfus Kayıt Sistemi, sosyal yardımlaşma ve dayanışma kapsamında üretilen envanter ve yoksulluk profili tespitine dönük çalışmalar birleştirilecektir.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,249,"• Elektrik tüketiminde alınan kayıp kaçak ve sayaç okuma bedellerinin, abonelere doğrudan iadesini sağlayacağız. TÜKETİCİ SAĞLIĞI • Genetik yapısı değiştirilmiş ürünlerin (GDO) ithalatı, üretimi ve tüketiminde mevzuatı AB standartları ile uyumlu hale getirecek ve kararlılıkla uygulayacağız. • Çocuklarımızın okullarda dengeli, yeterli ve sağlıklı beslenmesine yönelik gerekli önlemleri acilen alacağız, denetimini sağlayacağız.",1
tr_2007_akp_june_6_secim_beyannamesi,2007,akp_june_6_secim_beyannamesi,370,"• Dar gelirli ailelerin çocukları başta olmak üzere gençlerin gezi faaliyetlerinden ve yaz kamplarından ücretsiz yararlanmasını sağladık. • Gençlerin ve çocukların şiddete eğiliminin engellenmesi amacıyla Meclis Araştırma Komisyonu kurduk ve etkin bir şekilde çalışmasını sağladık. 113 2007 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ Üretken, karar verebilen, bilgiyi doğru kullanan, bilgi ve iletişim teknolojilerine yatkın genç nesillerin, ülkemizin yenilikçilik kapasitesine katkı sağlaması stratejik öneme sahiptir.",1
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,593,"Bağımsız çalışan kadınlar için bir ilk olarak sigorta kapsamında emzirme ödeneğini, gebelik halinde 16 haftalık iş göremezlik ödeneğini analık yardımı olarak ödemeye başladık. Sigortalı kadına, (iki çocuğa kadar) her bir çocuk için çalışamadığı 2 yılı dışarıdan ödeme ve sosyal güvence imkânı tanıdık. 2008'de Sosyal Güvenlik Kanunu'nda gerçekleştirilen düzenleme ile kadın sigortalılara doğum nedeniyle çalışmadıkları süreler için borçlanma imkânı sağladık.",0
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,1362,"3. Ilısu Barajı ve HES Projesi 2017'de tamamlanması beklenmektedir. 1.200 MW gücündeki santralin maliyeti 5,5 milyar TL'dir.",0
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,609,"1000 yeni girişimciye 20 163 2011 YOLUNDA AK PARTİ SEÇİM BEYANNEMELERİ milyon TL destek sağlanacaktır. Yeni girişimcilere iş ortamı sağlamak üzere 15 yeni İş Geliştirme Merkezi kurulacaktır. Gençlik Gençlerimiz bugünün dinamosu, yarının ise güvencesidir.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,256,"Avrupa Yol Bisikleti Şampiyonası 2010'da Ankara'da, Dünya Deniz Küreği Şampiyonası 2010 'da İstanbul'da, 2010 Sezonu Dünya Ralli Şampiyonası İstanbul'da, 2007'de “1. Karadeniz Oyunları” ve 2011'de “Avrupa Olimpik Gençlik Festivali ise Trabzon'da başarıyla düzenlendi. İstanbul 14.",1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,433,"Yaşanan büyük sıkıntılara rağmen, kısa zaman içinde hayata geçirilen bu büyük değişim, milletimizin şaşmaz medeniyet aşkının ve iradesinin parlak bir zaferidir. Kanaatim odur ki 2009 yılı, bu yedi yıllık süreç içinde daha farklı, daha özel bir anlam kazanmıştır. Dünyada yaşanan büyük ekonomik krizin dünyanın dev ekonomilerini derinden sarstığı 2009 yılı, Türkiye'nin bu kazanımlarının ne kadar sağlam bir zemine sahip olduğunu net olarak ortaya koymuştur.",0
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,37,"Bugün bazı çevrelerin bu pozitif tabloyu görmemekte ısrar ettiğini, ""enflasyon düşüyor, ama biz hissetmiyoruz"" dediklerini ifade eden Erdoğan, enflasyonun düşmesinin, fiyatların düşmesi değil, fiyat artış hızlarının düşmesi olduğuna işaret etti. Erdoğan, şunları söyledi: ""Lütfen, çarşıya, pazara çıktığınızda fiyatları şöyle geçmişle bir karşılaştırın. Ürün ve hizmetlerin geçmişte ne kadar arttığını, son iki 327 Recep Tayyip ERDOĞAN buçuk yıl içinde fiyatların nereden nereye geldiğini bir inceleyin.",0
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,314,"Sağlıklı Nesiller AK Parti olarak, insan merkezli anlayışının bir gereği olarak, fiziken ve ruhen sağlıklı nesillerin yetişmesini öncelikli görmekteyiz. Sağlıklı nesillerin yetiştirilmesini, aynı zamanda kalkınmada beşeri sermayenin oluşumu için de bir gereklilik olarak görüyoruz. Sağlık alanında hizmet standardının sürdürülebilirliğini sağlamak, yeni reformlarla hizmet kalitesini arttırmak, başta yoksul kesimler olmak üzere hizmeti vatandaşlarımızın ayağına götürmek temel amacımızdır.",1
tr_2002_akp_june_6_secim_beyannamesi,2002,akp_june_6_secim_beyannamesi,61,"Hukuk devleti ilkesine uygun olarak adalet reformunu gerçekleştirmek, partimizin öncelikleri arasında yer almaktadır. Hukuk alanındaki reformlara yeni bir anayasa yapılarak başlanmalıdır. Partimiz, yeni anayasanın devlet-toplum- birey arasında yapılan bir toplumsal sözleşme niteliğinde olmasından yanadır.",0
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,484,"117 Meslek Eğitimi Çalışma Yaşamıyla Birlikte Gelişecek • Sanayi kuruluşları ile iş birliği içerisinde, OSB'lerde ve Sanayi Sitelerinde çıraklık merkezi ve yatılı meslek liseleri kuracağız. • Meslek okullarında okuyan gençleri tam zamanlı sigortalı statüsüne yükselteceğiz. • Meslek okullarının bölgelerindeki ekonomiyle bütünleşmiş, esnek bir yapıya sahip olmalarını sağlayacağız.",1
tr_2003_ulusa_seslenis,2003,ulusa_seslenis,45,"Milletle AK Parti iktidarı arasındaki güven ilişkisini göremediler"" dedi. Onların ekonometrik modellerinde hesaba katılmayan bir faktörün devreye girdiğini ve IMF uzmanlarının en iyimser tahminlerini bile on kere katlayan muhteşem bir sonucun ortaya çıktığını ifade eden Erdoğan, şöyle konuştu: ""Onun için biz, bu güven meselesini çok önemsiyoruz. Milletin AK Parti'ye gösterdiği güven, aslında kendine duyduğu güvendir.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,61,"Uygar dünyadaki gelişmelerin aksine Türkiye, medyayı ve İnternet'i sansürleyen, gazetecileri tutuklayan ve muhalif görüşleri sindiren bir ülke konumuna sürüklenmiştir. İnternet yasakları iktidarın, ifade özgürlüğüne ve özgür kamusal alana inanmadığının önemli bir göstergesidir. CHP öncelikle basın mensuplarının özgürce haber yapma ve yurttaşların farklı kaynaklardan bilgilenme hakkını gözetecektir.",1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,310,"Tarihin en şanlı mücadelelerinden birini vererek kazandığımız istiklalimizin sembolü olan bu güzel bayram, milletimiz için her geçen gün daha da büyük bir anlam ve değer kazanıyor. Adım adım 100. kuruluş yılına yaklaşmakta olduğumuz Cumhuriyetimiz, geleceğimiz adına en büyük güvencemizdir.",1
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,1010,"Otomotiv sektöründe, küresel pazarların ihtiyaçlarına yönelik özgün tasarım araçlarla markalaşmayı teşvik edecek ve bu kapsamda yerli marka otomobil üretimi çalışmalarını hızlandıracağız. Elektronik sektöründe çift amaçlı teknolojilerin (savunma/ sivil) uygulama imkânlarını dikkate alacak; sektörün ulaştırma, otomotiv, makine başta olmak üzere diğer sektörlerle entegrasyonunu artıracağız. Elektronik haberleşme alanında yeni nesil telsiz teknolojisine geçiş sürecinde baz istasyonu ve kontrol birimleri ürünlerinin geliştirilmesi ve üretimine önem vereceğiz.",0
tr_2012_ulusa_seslenis,2012,ulusa_seslenis,103,"Türkiye'nin sorunlarına daima gerçekçi şekilde baktık, değerlendirmelerimizi bu doğrultuda yaptık. Türkiye'ye inanmayanlarla, milletimize inanmayanlarla, karamsar, kötümser tablolar çizenlerle yollarımızı ayırdık… Sizin yolunuz size, bizim yolumuz bize dedik. Ancak, yüreğinde Büyük Türkiye heyecanı taşıyan, bu ülkenin kalkınması için elini taşın altına koymaya hazır olan her kesimle her zaman istişare halinde olduk… Yatırımcımıza, girişimcimize, sanayicimize, işverenimize, işçimize, emekçimize, sivil toplum kuruluşlarımıza asla ve asla kulak tıkamadık… Aksine, onlarla el ele verdik, onların beklentileri, onların talepleri doğrultusunda Türkiye'nin büyümesi için çaba harcadık.",1
tr_2011_ulusa_seslenis,2011,ulusa_seslenis,322,"Bu düşüşü de devam ettirecek, inşallah işsizliği de makul seviyelere düşüreceğiz. Milletçe hepimizi sevindiren Recep Tayyip ERDOĞAN 224 bir başka gelişmeyi de burada sizlere açıklamak istiyorum. Şu anda, dünyanın birçok ülkesi, kamu borçlarını çevirmek amacıyla Uluslararası Para Fonu'ndan yüksek faizlerle kredi çekmek için sıraya girmiş durumda.",1
tr_2006_ulusa_seslenis,2006,ulusa_seslenis,574,"Yolsuzluk, yoksulluk ve yasaklara karşı verdiğimiz mücadelenin neticeleri hayatlarımıza yansımaya başlıyor. Benim, demokrasinin direği olarak gördüğüm 'orta sınıf ', uzun yıllardan sonra yeniden hayata dönüyor, tekrar ortaya çıkmaya başlıyor. Özgür ve müreffeh Türkiye'nin ayak sesleridir bunlar.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,152,"Bu, en az 2 bin 332 ocağın daha şenlenmesi, 2 bin 332 sofranın daha bereketlenmesi; en az on bin kardeşimizin, evladımızın huzur ve saadeti, hayır duası demektir. Avrupa'da bir çok ülke küresel finans krizi nedeniyle çok ağır faturalar öderken, zor dönemlerden geçerken, Türkiye tam tersine bu süreçten, işte böyle böyle, hızla çıkıyor. Nitekim, uluslararası kuruluşların yanısıra, uluslararası basın kuruluşları da Türkiye'nin krizden en az etkiyle sıyrıldığını teyit ediyorlar.",1
tr_2015_akp_oct_6_secim_beyannamesi,2015,akp_oct_6_secim_beyannamesi,966,"6550 sayılı Araştırma Altyapılarının Desteklenmesine Dair Kanunun ikincil mevzuat çalışmalarını tamamlayacağız ve hayata geçireceğiz. Bu Kanunun hayata geçmesiyle araştırma altyapılarımızın özel sektörle çok daha yakın bir şekilde çalışması sonucunda araştırmaların ticarileşmesine önemli bir destek sunacağız. Dışa bağımlılığın yüksek olduğu sektörlerde, yerli ürün ve teknolojiler geliştirilmesine yönelik araştırma programlarını destekleyerek etkinleştireceğiz.",1
tr_2014_akp_june_5_secim_beyannamesi,2014,akp_june_5_secim_beyannamesi,311,Sanayi sitelerinde ve tesislerinde arıtma sistemleri tavizsiz tamamlanacak ve çevre koruma prensiplerine göre inşa edilecektir. Çevre ve Şehircilik Bakanlığınca atık su arıtma tesislerinin teşvik edilmesi amacıyla enerji giderlerinin % 50'si karşılanmaktadır. Debisi 10.000 m3/gün üzerinde olan arıtma tesislerinin çıkışlarına kurulan istasyonlarından su kalitesi anlık olarak Çevre ve Şehircilik Bakanlığınca izlenmektedir.,1
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,415,İnşallah 2010 yılı her açıdan 2009'dan çok daha güzel bir yol olacaktır. Sevgili vatandaşlarım… Türkiye'nin hedeflerine ulaşma yolundaki kararlığından asla vazgeçmiş değiliz. Bu hedeflerden biri de Türkiye'nin şehirlerini birbirine bağlayan yolları çağdaş bir kalite ve seviyeye ulaştırmaktır.,1
tr_2008_ulusa_seslenis,2008,ulusa_seslenis,327,"Net asgari ücret 2002 Aralık ayında 184 YTL iken, 2008 Ekim ayında yüzde 173,3 oranında artarak 503 YTL'ye çıkmıştır. En düşük SSK emekli aylığı 2002 Aralık ayında 257 YTL iken, 2008 Ekim ayında 598 YTL'ye çıkmış, artış yüzde 132,7 olmuştur. En düşük BAĞ-KUR esnaf emekli aylığı 2002 Aralık ayında 149 YTL iken, 2008 Ekim ayında yüzde 214,1'lik bir artışla 468 YTL'ye yükselmiştir.",0
tr_2011_akp_june_5_secim_beyannamesi,2011,akp_june_5_secim_beyannamesi,552,"Kültürel mirasımızın korunması için gerekli teknik elemanların yetiştirilmesi sağlanacaktır. Tarihe mal olmuş bütün belgelerin hukuki sınırlar içinde bir arşivde toplanması ve kullanıma açılması gerçekleşecektir. Tüm illerde şehir müzesi kurularak, illerin kültürel varlıkları koruma altına alınacak ve gelecek nesillere aktarılacaktır.",1
tr_2011_ulusa_seslenis,2011,ulusa_seslenis,107,"Kızılay orada çadır kentler kuruyor, inşallah bu çadır kentlerin kapasitesi yakın zaman içinde 2 bin çadıra kadar çıkacak. Sağlık Bakanlığımız ilk aşamada tam teşekküllü bir sahra hastanesi kurarak hizmete başladı, önümüzdeki günlerde beş hastane daha süratle kurulacak. Diyanet İşleri Başkanlığımızın ve pek çok sivil yardım kuruluşumuz da kampanyalardan elde ettikleri kaynakları bölgeye ulaştırmak için adeta arı gibi çalışıyorlar.",1
tr_2010_ulusa_seslenis,2010,ulusa_seslenis,238,"Bütün bunları ülkemizin geleceğine bir yatırım olarak görüyor, bu hassasiyetle çalışmalarımızı yürütüyoruz. Türkiye eğitim alanında ektiği bu tohumların karşılığını hayatın her alanında kat be kat alacaktır, bundan hiç şüphemiz yok. Bu üniversitelerden, bu okullardan pırıl pırıl aydınlık, mutlu ve müreffeh Türkiye'nin mimarları yetişecek.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,771,"SURİYE • Suriye'de Barış ve İstikrarı Sağlamaya Dönük Adımlar Kalıcı barışı sağlamaya dönük bütün uluslararası girişimleri ve BM Suriye Özel Temsilcisi'nin çalışmalarını destekleyeceğiz. • Suriye halkının dostumuz olduğunu hiç unutmadan, iç savaşın taraflarıyla görüşebilen bir siyasi parti olarak, Suriye'ye barış ve güven getirmek için samimiyetle çalışmaya devam edeceğiz. • Suriye'de sürmekte olan savaşta taraf tutmayacak, Suriye'nin geleceğine dış müdahaleler olmaksızın Suriye halkının karar verebileceği koşulların yaratılmasına yardımcı olacağız.",0
tr_2009_ulusa_seslenis,2009,ulusa_seslenis,84,"Değerli vatandaşlarım… Her geçen gün artan enerji ihtiyacı hesaba katılırsa, bu projelerin, başta Avrupa ülkeleri olmak üzere dünyanın enerji can damarı demek olduğu rahatlıkla anlaşılır. Türkiye bugün konumu ve istikrarıyla bu kritik haritanın en önemli adresi haline gelmiş bulunuyor. Bunlara ilaveten, doğalgazın Türkiye-Bulgaristan-Romanya ve Macaristan üzerinden Avusturya'ya taşınmasını öngören Nabucco Doğal Gaz Boru Hattı Projesi'ne ilişkin çalışmalar da bütün hızıyla devam ediyor.",0
tr_2004_ulusa_seslenis,2004,ulusa_seslenis,225,"Hedefimiz, denizcilik sektörünün tersaneler, kıyı yapı ve tesisleri, deniz altı kaynakları, balıkçılık, deniz turizmi gibi diğer unsurlarında da aynı değişimi gerçekleştirerek bunu o sektörde olanlara yaşatmaktır."" ""Başladığımız işi hayırlısıyla bitirip, bu ülkeyi adil ve kalkınmış bir ülke haline getireceğiz"" diyen Erdoğan, bütün bu gelişmelerin ""Türkiye'nin damarlarına kan gelmeye başladığının işareti"" olduğunu söyledi. Erdoğan, ""Bizlere olan inancınızı, Recep Tayyip ERDOĞAN 156 güveninizi asla kaybetmeyiniz. Türkiye, haklının hakkına sahip olacağı, çalışanın ezilmeyeceği, demokrasinin bütün kurumlarıyla işleyeceği örnek bir ülke olacaktır"" diye konuştu.",1
tr_2015_chp_secim_beyannamesi,2015,chp_secim_beyannamesi,839,CHP ileri teknoloji üreten ve kullanan bir bilgi ekonomisi hedefine ulaşabilmek için kadınların yaşamın bütün alanlarında erkeklerle aynı haklara sahip olması ve aynı konuma gelmesi için çalışacaktır. Bilgi Toplumu için Uzlaşma ve Mutabakat Bilgi toplumuna ulaşmak için devletin düzenleyici ve uzlaştırıcı rol oynaması gerekmektedir. İş dünyası toplumsal sorumlulukları konusunda bilinçli ve duyarlı olmalıdır.,0
tr_2005_ulusa_seslenis,2005,ulusa_seslenis,145,"Böylece, diyelim ki, çiftçimiz birinci sınıf ekmelik buğdayını 350 bin liraya sattıysa, bunu belgelemesi halinde 30 bin lira da prim alacaktır. En geç bir ay içinde eline toplam 380 bin lira geçmiş olacaktır. Bu yeni bir uygulamadır, TMO bundan önce böyle bir uygulama yapmıyor, sadece aldığı buğdayı kayıt altına alıyordu.",0
